subgraph,count
<http://www.wikidata.org/entity/Q11266439>,140708
<http://www.wikidata.org/entity/Q838948>,340
<http://www.wikidata.org/entity/Q65954115>,1
<http://www.wikidata.org/entity/Q15647814>,166
<http://www.wikidata.org/entity/Q735428>,84
<http://www.wikidata.org/entity/Q215380>,20019
<http://www.wikidata.org/entity/Q149566>,51
<http://www.wikidata.org/entity/Q55659167>,45
<http://www.wikidata.org/entity/Q26703203>,17
<http://www.wikidata.org/entity/Q7777570>,99
<http://www.wikidata.org/entity/Q107102664>,11
<http://www.wikidata.org/entity/Q3508250>,66
<http://www.wikidata.org/entity/Q815382>,1206
<http://www.wikidata.org/entity/Q985488>,51
<http://www.wikidata.org/entity/Q101352>,72131
<http://www.wikidata.org/entity/Q26211545>,107
<http://www.wikidata.org/entity/Q26894053>,23
<http://www.wikidata.org/entity/Q30612>,9660
<http://www.wikidata.org/entity/Q35127>,22538
<http://www.wikidata.org/entity/Q23925393>,26
<http://www.wikidata.org/entity/Q18593264>,1520
<http://www.wikidata.org/entity/Q61278455>,4
<http://www.wikidata.org/entity/Q3464665>,732
<http://www.wikidata.org/entity/Q46831>,3422
<http://www.wikidata.org/entity/Q166735>,13
<http://www.wikidata.org/entity/Q2334719>,452
<http://www.wikidata.org/entity/Q6451276>,1379
<http://www.wikidata.org/entity/Q3950>,759
<http://www.wikidata.org/entity/Q1580166>,374
<http://www.wikidata.org/entity/Q54050>,952
<http://www.wikidata.org/entity/Q212198>,85
<http://www.wikidata.org/entity/Q7604686>,9
<http://www.wikidata.org/entity/Q22969563>,6
<http://www.wikidata.org/entity/Q15184295>,37
<http://www.wikidata.org/entity/Q8436>,687
<http://www.wikidata.org/entity/Q107103143>,174
<http://www.wikidata.org/entity/Q4414033>,1
<http://www.wikidata.org/entity/Q14350>,7064
<http://www.wikidata.org/entity/Q102496>,133
<http://www.wikidata.org/entity/Q59541917>,75
<http://www.wikidata.org/entity/Q327333>,8955
<http://www.wikidata.org/entity/Q11753321>,268
<http://www.wikidata.org/entity/Q2309609>,77
<http://www.wikidata.org/entity/Q6999>,6988
<http://www.wikidata.org/entity/Q17343829>,1661
<http://www.wikidata.org/entity/Q355304>,475
<http://www.wikidata.org/entity/Q839954>,2256
<http://www.wikidata.org/entity/Q18918145>,546
<http://www.wikidata.org/entity/Q1348305>,621
<http://www.wikidata.org/entity/Q2225692>,360
<http://www.wikidata.org/entity/Q131681>,704
<http://www.wikidata.org/entity/Q15303838>,224
<http://www.wikidata.org/entity/Q57733494>,3
<http://www.wikidata.org/entity/Q163740>,44316
<http://www.wikidata.org/entity/Q452237>,3
<http://www.wikidata.org/entity/Q3558970>,1378
<http://www.wikidata.org/entity/Q6453643>,3
<http://www.wikidata.org/entity/Q40231>,1071
<http://www.wikidata.org/entity/Q16970>,3124
<http://www.wikidata.org/entity/Q17018380>,46
<http://www.wikidata.org/entity/Q16466010>,1
<http://www.wikidata.org/entity/Q46686>,2
<http://www.wikidata.org/entity/Q62447>,245
<http://www.wikidata.org/entity/Q11032>,35648
<http://www.wikidata.org/entity/Q417841>,267
<http://www.wikidata.org/entity/Q21672098>,258
<http://www.wikidata.org/entity/Q22808320>,2783
<http://www.wikidata.org/entity/Q28564>,394
<http://www.wikidata.org/entity/Q6503489>,8
<http://www.wikidata.org/entity/Q23894233>,35
<http://www.wikidata.org/entity/Q3257686>,507
<http://www.wikidata.org/entity/Q34023>,18
<http://www.wikidata.org/entity/Q310890>,3215
<http://www.wikidata.org/entity/Q26887310>,5
<http://www.wikidata.org/entity/Q50386450>,109
<http://www.wikidata.org/entity/Q16560>,1519
<http://www.wikidata.org/entity/Q427087>,1322
<http://www.wikidata.org/entity/Q15221623>,76
<http://www.wikidata.org/entity/Q41298>,6059
<http://www.wikidata.org/entity/Q891723>,175057
<http://www.wikidata.org/entity/Q1081138>,1060
<http://www.wikidata.org/entity/Q27020041>,1994
<http://www.wikidata.org/entity/Q4167836>,45460
<http://www.wikidata.org/entity/Q3947>,4405
<http://www.wikidata.org/entity/Q4830453>,338046
<http://www.wikidata.org/entity/Q39816>,913
<http://www.wikidata.org/entity/Q489357>,23
<http://www.wikidata.org/entity/Q13417114>,471
<http://www.wikidata.org/entity/Q585956>,29
<http://www.wikidata.org/entity/Q55659107>,39
<http://www.wikidata.org/entity/Q740445>,12
<http://www.wikidata.org/entity/Q125191>,45659
<http://www.wikidata.org/entity/Q21199>,14676
<http://www.wikidata.org/entity/Q134556>,10262
<http://www.wikidata.org/entity/Q4167410>,2215402
<http://www.wikidata.org/entity/Q18127>,2427
<http://www.wikidata.org/entity/Q30198>,99
