subgraph,ua_count
<http://www.wikidata.org/entity/Q27555384>,113
<http://www.wikidata.org/entity/Q10870555>,101
<http://www.wikidata.org/entity/Q14659>,105
<http://www.wikidata.org/entity/Q4989906>,504
<http://www.wikidata.org/entity/Q11755880>,178
<http://www.wikidata.org/entity/Q29023906>,83
<http://www.wikidata.org/entity/Q41253>,545
<http://www.wikidata.org/entity/Q47345468>,73
<http://www.wikidata.org/entity/Q5084>,418
<http://www.wikidata.org/entity/Q16521>,25193
<http://www.wikidata.org/entity/Q532>,950
<http://www.wikidata.org/entity/Q56428020>,45
<http://www.wikidata.org/entity/Q13442814>,2572
<http://www.wikidata.org/entity/Q67035425>,21
<http://www.wikidata.org/entity/Q3331189>,1492
<http://www.wikidata.org/entity/Q2732840>,109
<http://www.wikidata.org/entity/Q16510064>,99
<http://www.wikidata.org/entity/Q7889>,744
<http://www.wikidata.org/entity/Q34442>,360
<http://www.wikidata.org/entity/Q155076>,114
<http://www.wikidata.org/entity/Q19692072>,101
<http://www.wikidata.org/entity/Q15773317>,405
<http://www.wikidata.org/entity/Q20541692>,98
<http://www.wikidata.org/entity/Q18340514>,130
<http://www.wikidata.org/entity/Q484170>,4764
<http://www.wikidata.org/entity/Q2116450>,77
<http://www.wikidata.org/entity/Q5185279>,215
<http://www.wikidata.org/entity/Q21198342>,394
<http://www.wikidata.org/entity/Q66826848>,2603
<http://www.wikidata.org/entity/Q13406463>,1991
<http://www.wikidata.org/entity/Q1302249>,103
<http://www.wikidata.org/entity/Q26267864>,23
<http://www.wikidata.org/entity/Q14860489>,89445
<http://www.wikidata.org/entity/Q108325>,239
<http://www.wikidata.org/entity/Q737498>,602
<http://www.wikidata.org/entity/Q842402>,94
<http://www.wikidata.org/entity/Q40080>,268
<http://www.wikidata.org/entity/Q4164871>,4319
<http://www.wikidata.org/entity/Q7725634>,932
<http://www.wikidata.org/entity/Q187223>,104
<http://www.wikidata.org/entity/Q27671617>,43
<http://www.wikidata.org/entity/Q860861>,333
<http://www.wikidata.org/entity/Q1260524>,104
<http://www.wikidata.org/entity/Q59199015>,246
<http://www.wikidata.org/entity/Q24862>,764
<http://www.wikidata.org/entity/Q47521>,243
<http://www.wikidata.org/entity/Q65661087>,141
<http://www.wikidata.org/entity/Q820655>,156
<http://www.wikidata.org/entity/Q3957>,1058
<http://www.wikidata.org/entity/Q81505329>,813
<http://www.wikidata.org/entity/Q47150325>,152
<http://www.wikidata.org/entity/Q46190676>,82
<http://www.wikidata.org/entity/Q728937>,284
<http://www.wikidata.org/entity/Q13100073>,219
<http://www.wikidata.org/entity/Q15416>,1083
<http://www.wikidata.org/entity/Q61443650>,33
<http://www.wikidata.org/entity/Q7075>,379
<http://www.wikidata.org/entity/Q5398426>,2479
<http://www.wikidata.org/entity/Q459297>,45
<http://www.wikidata.org/entity/Q39594>,239
<http://www.wikidata.org/entity/Q121117>,170
<http://www.wikidata.org/entity/Q476028>,12086
<http://www.wikidata.org/entity/Q86850539>,20158
<http://www.wikidata.org/entity/Q207326>,211
<http://www.wikidata.org/entity/Q61089180>,348
<http://www.wikidata.org/entity/Q2042028>,70
<http://www.wikidata.org/entity/Q210272>,347
<http://www.wikidata.org/entity/Q19860854>,269
<http://www.wikidata.org/entity/Q482994>,2708
<http://www.wikidata.org/entity/Q16917>,497
<http://www.wikidata.org/entity/Q124714>,218
<http://www.wikidata.org/entity/Q126807>,100
<http://www.wikidata.org/entity/Q23038290>,522
<http://www.wikidata.org/entity/Q202444>,193
<http://www.wikidata.org/entity/Q159334>,203
<http://www.wikidata.org/entity/Q506240>,2837
<http://www.wikidata.org/entity/Q133056>,204
<http://www.wikidata.org/entity/Q3052382>,74
<http://www.wikidata.org/entity/Q34038>,167
<http://www.wikidata.org/entity/Q9842>,200
<http://www.wikidata.org/entity/Q174782>,345
<http://www.wikidata.org/entity/Q3914>,425
<http://www.wikidata.org/entity/Q13406554>,223
<http://www.wikidata.org/entity/Q24529780>,182
<http://www.wikidata.org/entity/Q1303167>,110
<http://www.wikidata.org/entity/Q618779>,429
<http://www.wikidata.org/entity/Q2514025>,298
<http://www.wikidata.org/entity/Q814254>,40
<http://www.wikidata.org/entity/Q732577>,312
<http://www.wikidata.org/entity/Q49008>,134
<http://www.wikidata.org/entity/Q1266946>,72
<http://www.wikidata.org/entity/Q2668072>,384
<http://www.wikidata.org/entity/Q11060274>,213
<http://www.wikidata.org/entity/Q19389637>,105
