subgraph,query_time_class,count
<http://www.wikidata.org/entity/Q30612>,3_100ms_to_1s,5415
<http://www.wikidata.org/entity/Q839954>,5_more_10s,398
<http://www.wikidata.org/entity/Q13100073>,5_more_10s,13
<http://www.wikidata.org/entity/Q2151232>,2_10ms_to_100ms,6421
<http://www.wikidata.org/entity/Q67383935>,4_1s_to_10s,500
<http://www.wikidata.org/entity/Q891723>,1_less_10ms,7804
<http://www.wikidata.org/entity/Q1002697>,4_1s_to_10s,2239
<http://www.wikidata.org/entity/Q178561>,1_less_10ms,806
<http://www.wikidata.org/entity/Q21672098>,2_10ms_to_100ms,15840
<http://www.wikidata.org/entity/Q1520033>,4_1s_to_10s,9813
<http://www.wikidata.org/entity/Q4022>,1_less_10ms,3801
<http://www.wikidata.org/entity/Q108325>,4_1s_to_10s,11322
<http://www.wikidata.org/entity/Q59199015>,4_1s_to_10s,367
<http://www.wikidata.org/entity/Q482>,5_more_10s,36
<http://www.wikidata.org/entity/Q26267864>,3_100ms_to_1s,209
<http://www.wikidata.org/entity/Q6451276>,1_less_10ms,2
<http://www.wikidata.org/entity/Q11266439>,5_more_10s,401
<http://www.wikidata.org/entity/Q105543609>,4_1s_to_10s,8352
<http://www.wikidata.org/entity/Q125191>,5_more_10s,498
<http://www.wikidata.org/entity/Q532>,4_1s_to_10s,14665
<http://www.wikidata.org/entity/Q740445>,3_100ms_to_1s,1915
<http://www.wikidata.org/entity/Q420927>,4_1s_to_10s,25
<http://www.wikidata.org/entity/Q93184>,5_more_10s,210
<http://www.wikidata.org/entity/Q102496>,1_less_10ms,24
<http://www.wikidata.org/entity/Q3331189>,2_10ms_to_100ms,302111
<http://www.wikidata.org/entity/Q56428020>,2_10ms_to_100ms,2461
<http://www.wikidata.org/entity/Q49008>,2_10ms_to_100ms,3426
<http://www.wikidata.org/entity/Q189004>,3_100ms_to_1s,39889
<http://www.wikidata.org/entity/Q2668072>,5_more_10s,1066
<http://www.wikidata.org/entity/Q1115575>,3_100ms_to_1s,26939
<http://www.wikidata.org/entity/Q123705>,3_100ms_to_1s,38355
<http://www.wikidata.org/entity/Q57733494>,2_10ms_to_100ms,25917
<http://www.wikidata.org/entity/Q2042028>,4_1s_to_10s,360
<http://www.wikidata.org/entity/Q40231>,3_100ms_to_1s,12601
<http://www.wikidata.org/entity/Q1520033>,2_10ms_to_100ms,6355
<http://www.wikidata.org/entity/Q15632617>,1_less_10ms,2407
<http://www.wikidata.org/entity/Q4989906>,2_10ms_to_100ms,41737
<http://www.wikidata.org/entity/Q105543609>,5_more_10s,138
<http://www.wikidata.org/entity/Q22969563>,2_10ms_to_100ms,7446
<http://www.wikidata.org/entity/Q202444>,4_1s_to_10s,1486
<http://www.wikidata.org/entity/Q65954115>,3_100ms_to_1s,520
<http://www.wikidata.org/entity/Q13433827>,4_1s_to_10s,1138
<http://www.wikidata.org/entity/Q3947>,3_100ms_to_1s,28652
<http://www.wikidata.org/entity/Q207326>,3_100ms_to_1s,6473
<http://www.wikidata.org/entity/Q187223>,3_100ms_to_1s,3778
<http://www.wikidata.org/entity/Q21199>,1_less_10ms,463
<http://www.wikidata.org/entity/Q1681353>,4_1s_to_10s,831
<http://www.wikidata.org/entity/Q163740>,1_less_10ms,1272
<http://www.wikidata.org/entity/Q355304>,5_more_10s,207
<http://www.wikidata.org/entity/Q220659>,4_1s_to_10s,506
<http://www.wikidata.org/entity/Q459297>,2_10ms_to_100ms,609
<http://www.wikidata.org/entity/Q174782>,4_1s_to_10s,11284
<http://www.wikidata.org/entity/Q42195>,4_1s_to_10s,615
<http://www.wikidata.org/entity/Q15184295>,2_10ms_to_100ms,8636
<http://www.wikidata.org/entity/Q7187>,5_more_10s,5459
<http://www.wikidata.org/entity/Q2065736>,1_less_10ms,969
<http://www.wikidata.org/entity/Q27555384>,5_more_10s,44
<http://www.wikidata.org/entity/Q815382>,4_1s_to_10s,937
<http://www.wikidata.org/entity/Q7075>,1_less_10ms,434
<http://www.wikidata.org/entity/Q19692072>,5_more_10s,6
<http://www.wikidata.org/entity/Q11753321>,4_1s_to_10s,291
<http://www.wikidata.org/entity/Q125191>,2_10ms_to_100ms,58771
<http://www.wikidata.org/entity/Q14204246>,2_10ms_to_100ms,495477
<http://www.wikidata.org/entity/Q27020041>,5_more_10s,145
<http://www.wikidata.org/entity/Q15632617>,4_1s_to_10s,9891
<http://www.wikidata.org/entity/Q811979>,4_1s_to_10s,15857
<http://www.wikidata.org/entity/Q18663566>,2_10ms_to_100ms,24509
<http://www.wikidata.org/entity/Q185113>,4_1s_to_10s,2906
<http://www.wikidata.org/entity/Q169930>,1_less_10ms,223
<http://www.wikidata.org/entity/Q860861>,2_10ms_to_100ms,54586
<http://www.wikidata.org/entity/Q19860854>,4_1s_to_10s,3990
<http://www.wikidata.org/entity/Q7075>,4_1s_to_10s,11810
<http://www.wikidata.org/entity/Q67035425>,1_less_10ms,3
<http://www.wikidata.org/entity/Q18593264>,2_10ms_to_100ms,28756
<http://www.wikidata.org/entity/Q210272>,2_10ms_to_100ms,15539
<http://www.wikidata.org/entity/Q1529096>,2_10ms_to_100ms,5825
<http://www.wikidata.org/entity/Q12308941>,2_10ms_to_100ms,143505
<http://www.wikidata.org/entity/Q1539532>,1_less_10ms,69
