subgraph,query_time_class,count
<http://www.wikidata.org/entity/Q18340514>,1_less_10ms,1575
<http://www.wikidata.org/entity/Q56731284>,1_less_10ms,11
<http://www.wikidata.org/entity/Q5707594>,2_10ms_to_100ms,1686
<http://www.wikidata.org/entity/Q847017>,5_more_10s,64
<http://www.wikidata.org/entity/Q42195>,5_more_10s,3
<http://www.wikidata.org/entity/Q25379>,4_1s_to_10s,1164
<http://www.wikidata.org/entity/Q6881511>,2_10ms_to_100ms,544681
<http://www.wikidata.org/entity/Q953806>,2_10ms_to_100ms,5382
<http://www.wikidata.org/entity/Q420927>,1_less_10ms,37
<http://www.wikidata.org/entity/Q41253>,4_1s_to_10s,15621
<http://www.wikidata.org/entity/Q47150325>,4_1s_to_10s,128
<http://www.wikidata.org/entity/Q815382>,5_more_10s,70
<http://www.wikidata.org/entity/Q220659>,5_more_10s,19
<http://www.wikidata.org/entity/Q210272>,3_100ms_to_1s,103209
<http://www.wikidata.org/entity/Q928830>,5_more_10s,51
<http://www.wikidata.org/entity/Q2996394>,5_more_10s,31
<http://www.wikidata.org/entity/Q1516079>,5_more_10s,31
<http://www.wikidata.org/entity/Q23894233>,3_100ms_to_1s,616
<http://www.wikidata.org/entity/Q187971>,1_less_10ms,38
<http://www.wikidata.org/entity/Q179049>,4_1s_to_10s,4278
<http://www.wikidata.org/entity/Q4504495>,5_more_10s,215
<http://www.wikidata.org/entity/Q473972>,1_less_10ms,790
<http://www.wikidata.org/entity/Q8054>,2_10ms_to_100ms,280856
<http://www.wikidata.org/entity/Q898273>,5_more_10s,2
<http://www.wikidata.org/entity/Q1529096>,1_less_10ms,77
<http://www.wikidata.org/entity/Q43229>,4_1s_to_10s,99599
<http://www.wikidata.org/entity/Q191067>,4_1s_to_10s,815
<http://www.wikidata.org/entity/Q11060274>,4_1s_to_10s,1349
<http://www.wikidata.org/entity/Q11032>,5_more_10s,532
<http://www.wikidata.org/entity/Q13100073>,4_1s_to_10s,2269
<http://www.wikidata.org/entity/Q486972>,5_more_10s,1805
<http://www.wikidata.org/entity/Q61443690>,4_1s_to_10s,176
<http://www.wikidata.org/entity/Q2116450>,5_more_10s,65
<http://www.wikidata.org/entity/Q2151232>,3_100ms_to_1s,1613
<http://www.wikidata.org/entity/Q571>,4_1s_to_10s,2637
<http://www.wikidata.org/entity/Q28564>,1_less_10ms,211
<http://www.wikidata.org/entity/Q16917>,5_more_10s,291
<http://www.wikidata.org/entity/Q506240>,3_100ms_to_1s,181091
<http://www.wikidata.org/entity/Q43460564>,1_less_10ms,31
<http://www.wikidata.org/entity/Q134556>,4_1s_to_10s,5994
<http://www.wikidata.org/entity/Q11446>,1_less_10ms,646
<http://www.wikidata.org/entity/Q17018380>,2_10ms_to_100ms,3119
<http://www.wikidata.org/entity/Q15184295>,4_1s_to_10s,74
<http://www.wikidata.org/entity/Q417841>,4_1s_to_10s,100
<http://www.wikidata.org/entity/Q2225692>,2_10ms_to_100ms,329630
<http://www.wikidata.org/entity/Q928830>,4_1s_to_10s,11379
<http://www.wikidata.org/entity/Q65661087>,5_more_10s,18
<http://www.wikidata.org/entity/Q3331189>,1_less_10ms,1403
<http://www.wikidata.org/entity/Q2668072>,3_100ms_to_1s,104887
<http://www.wikidata.org/entity/Q1348305>,3_100ms_to_1s,6482
<http://www.wikidata.org/entity/Q2334719>,5_more_10s,9
<http://www.wikidata.org/entity/Q2732840>,3_100ms_to_1s,921
<http://www.wikidata.org/entity/Q7187>,4_1s_to_10s,22863
<http://www.wikidata.org/entity/Q1081138>,3_100ms_to_1s,7450
<http://www.wikidata.org/entity/Q7725634>,4_1s_to_10s,5651
<http://www.wikidata.org/entity/Q7075>,3_100ms_to_1s,24595
<http://www.wikidata.org/entity/Q732577>,4_1s_to_10s,8093
<http://www.wikidata.org/entity/Q16466010>,1_less_10ms,26
<http://www.wikidata.org/entity/Q891723>,4_1s_to_10s,16249
<http://www.wikidata.org/entity/Q7397>,5_more_10s,239
<http://www.wikidata.org/entity/Q2065736>,2_10ms_to_100ms,40736
<http://www.wikidata.org/entity/Q42195>,1_less_10ms,4
<http://www.wikidata.org/entity/Q8502>,2_10ms_to_100ms,174729
<http://www.wikidata.org/entity/Q1081138>,2_10ms_to_100ms,12570
<http://www.wikidata.org/entity/Q178561>,2_10ms_to_100ms,65631
<http://www.wikidata.org/entity/Q39816>,2_10ms_to_100ms,16510
<http://www.wikidata.org/entity/Q61089180>,2_10ms_to_100ms,16278
<http://www.wikidata.org/entity/Q55488>,2_10ms_to_100ms,197661
<http://www.wikidata.org/entity/Q2996394>,4_1s_to_10s,641
<http://www.wikidata.org/entity/Q102496>,5_more_10s,15
<http://www.wikidata.org/entity/Q26211545>,5_more_10s,18
<http://www.wikidata.org/entity/Q26703203>,2_10ms_to_100ms,479
<http://www.wikidata.org/entity/Q235557>,5_more_10s,88
<http://www.wikidata.org/entity/Q47150325>,5_more_10s,6
<http://www.wikidata.org/entity/Q24046192>,1_less_10ms,22
<http://www.wikidata.org/entity/Q820655>,3_100ms_to_1s,4459
<http://www.wikidata.org/entity/Q726>,5_more_10s,154
<http://www.wikidata.org/entity/Q482>,3_100ms_to_1s,874
<http://www.wikidata.org/entity/Q106474968>,3_100ms_to_1s,97
<http://www.wikidata.org/entity/Q1497375>,2_10ms_to_100ms,13390
<http://www.wikidata.org/entity/Q452237>,5_more_10s,21
<http://www.wikidata.org/entity/Q7604686>,4_1s_to_10s,99
<http://www.wikidata.org/entity/Q294414>,4_1s_to_10s,3036
<http://www.wikidata.org/entity/Q4989906>,5_more_10s,345
<http://www.wikidata.org/entity/Q26267864>,1_less_10ms,5
<http://www.wikidata.org/entity/Q235557>,4_1s_to_10s,6817
<http://www.wikidata.org/entity/Q23925393>,5_more_10s,4
<http://www.wikidata.org/entity/Q3918>,1_less_10ms,2980
<http://www.wikidata.org/entity/Q4164871>,4_1s_to_10s,99628
<http://www.wikidata.org/entity/Q358>,2_10ms_to_100ms,12425
<http://www.wikidata.org/entity/Q192287>,5_more_10s,56
<http://www.wikidata.org/entity/Q166735>,3_100ms_to_1s,1250
<http://www.wikidata.org/entity/Q751876>,5_more_10s,163
<http://www.wikidata.org/entity/Q212198>,1_less_10ms,153
<http://www.wikidata.org/entity/Q21014462>,4_1s_to_10s,926
<http://www.wikidata.org/entity/Q50386450>,1_less_10ms,87
<http://www.wikidata.org/entity/Q4167410>,2_10ms_to_100ms,1911778
<http://www.wikidata.org/entity/Q46686>,2_10ms_to_100ms,1251
<http://www.wikidata.org/entity/Q811979>,1_less_10ms,1161
<http://www.wikidata.org/entity/Q26894053>,4_1s_to_10s,148
<http://www.wikidata.org/entity/Q187685>,5_more_10s,48
<http://www.wikidata.org/entity/Q1195098>,5_more_10s,15
<http://www.wikidata.org/entity/Q310890>,5_more_10s,41
<http://www.wikidata.org/entity/Q185113>,2_10ms_to_100ms,18881
<http://www.wikidata.org/entity/Q7889>,2_10ms_to_100ms,599954
<http://www.wikidata.org/entity/Q482994>,3_100ms_to_1s,100891
<http://www.wikidata.org/entity/Q1577547>,3_100ms_to_1s,1440
<http://www.wikidata.org/entity/Q820655>,1_less_10ms,162
<http://www.wikidata.org/entity/Q847017>,3_100ms_to_1s,24990
<http://www.wikidata.org/entity/Q253019>,3_100ms_to_1s,54901
<http://www.wikidata.org/entity/Q2514025>,2_10ms_to_100ms,20685
<http://www.wikidata.org/entity/Q207524>,3_100ms_to_1s,1997
<http://www.wikidata.org/entity/Q19692072>,1_less_10ms,90
<http://www.wikidata.org/entity/Q3052382>,5_more_10s,17
<http://www.wikidata.org/entity/Q898273>,3_100ms_to_1s,2498
<http://www.wikidata.org/entity/Q27020041>,4_1s_to_10s,1457
<http://www.wikidata.org/entity/Q22698>,5_more_10s,166
<http://www.wikidata.org/entity/Q2085381>,3_100ms_to_1s,77366
<http://www.wikidata.org/entity/Q24862>,3_100ms_to_1s,105500
<http://www.wikidata.org/entity/Q24354>,5_more_10s,206
<http://www.wikidata.org/entity/Q3914>,5_more_10s,286
<http://www.wikidata.org/entity/Q35509>,5_more_10s,60
<http://www.wikidata.org/entity/Q1505023>,3_100ms_to_1s,347
<http://www.wikidata.org/entity/Q26211545>,4_1s_to_10s,1481
<http://www.wikidata.org/entity/Q2231510>,2_10ms_to_100ms,168
<http://www.wikidata.org/entity/Q2231510>,3_100ms_to_1s,134
<http://www.wikidata.org/entity/Q23058136>,1_less_10ms,86
<http://www.wikidata.org/entity/Q16887380>,4_1s_to_10s,1609
<http://www.wikidata.org/entity/Q277338>,2_10ms_to_100ms,2448
<http://www.wikidata.org/entity/Q2467461>,4_1s_to_10s,974
<http://www.wikidata.org/entity/Q19855165>,5_more_10s,1
<http://www.wikidata.org/entity/Q726>,2_10ms_to_100ms,28592
<http://www.wikidata.org/entity/Q7777570>,2_10ms_to_100ms,3905
<http://www.wikidata.org/entity/Q29023906>,5_more_10s,1
<http://www.wikidata.org/entity/Q417841>,5_more_10s,10
<http://www.wikidata.org/entity/Q43229>,2_10ms_to_100ms,445694
<http://www.wikidata.org/entity/Q65661087>,3_100ms_to_1s,3244
<http://www.wikidata.org/entity/Q6453643>,3_100ms_to_1s,544
<http://www.wikidata.org/entity/Q15184295>,3_100ms_to_1s,774
<http://www.wikidata.org/entity/Q30612>,5_more_10s,98
<http://www.wikidata.org/entity/Q34763>,5_more_10s,151
<http://www.wikidata.org/entity/Q22808320>,2_10ms_to_100ms,381752
<http://www.wikidata.org/entity/Q4504495>,3_100ms_to_1s,17424
<http://www.wikidata.org/entity/Q34442>,5_more_10s,569
<http://www.wikidata.org/entity/Q726>,1_less_10ms,396
<http://www.wikidata.org/entity/Q50231>,3_100ms_to_1s,682
<http://www.wikidata.org/entity/Q106006703>,3_100ms_to_1s,26
<http://www.wikidata.org/entity/Q17524420>,1_less_10ms,1194
<http://www.wikidata.org/entity/Q26895936>,1_less_10ms,227
<http://www.wikidata.org/entity/Q31855>,4_1s_to_10s,7143
<http://www.wikidata.org/entity/Q985488>,2_10ms_to_100ms,10740
<http://www.wikidata.org/entity/Q21191270>,1_less_10ms,1581
<http://www.wikidata.org/entity/Q106474968>,1_less_10ms,10
<http://www.wikidata.org/entity/Q17633526>,3_100ms_to_1s,2264
<http://www.wikidata.org/entity/Q3231690>,1_less_10ms,1440
<http://www.wikidata.org/entity/Q43229>,1_less_10ms,4052
<http://www.wikidata.org/entity/Q15647814>,4_1s_to_10s,271
<http://www.wikidata.org/entity/Q1529096>,5_more_10s,345
<http://www.wikidata.org/entity/Q17524420>,2_10ms_to_100ms,62805
<http://www.wikidata.org/entity/Q1134686>,3_100ms_to_1s,10099
<http://www.wikidata.org/entity/Q4164871>,2_10ms_to_100ms,399646
<http://www.wikidata.org/entity/Q160091>,2_10ms_to_100ms,10493
<http://www.wikidata.org/entity/Q235557>,2_10ms_to_100ms,13755
<http://www.wikidata.org/entity/Q65954115>,2_10ms_to_100ms,148
<http://www.wikidata.org/entity/Q486972>,1_less_10ms,6086
<http://www.wikidata.org/entity/Q187223>,1_less_10ms,46
<http://www.wikidata.org/entity/Q11755880>,5_more_10s,51
<http://www.wikidata.org/entity/Q16510064>,3_100ms_to_1s,3304
<http://www.wikidata.org/entity/Q125191>,4_1s_to_10s,149455
<http://www.wikidata.org/entity/Q14204246>,5_more_10s,1755
<http://www.wikidata.org/entity/Q18918145>,5_more_10s,61
<http://www.wikidata.org/entity/Q81505329>,4_1s_to_10s,47
<http://www.wikidata.org/entity/Q5783996>,3_100ms_to_1s,2915
<http://www.wikidata.org/entity/Q898273>,2_10ms_to_100ms,38934
<http://www.wikidata.org/entity/Q965568>,3_100ms_to_1s,2508
<http://www.wikidata.org/entity/Q18761202>,5_more_10s,189
<http://www.wikidata.org/entity/Q27555384>,1_less_10ms,72
<http://www.wikidata.org/entity/Q100532807>,2_10ms_to_100ms,398
<http://www.wikidata.org/entity/Q25379>,1_less_10ms,1394
<http://www.wikidata.org/entity/Q22698>,2_10ms_to_100ms,99085
<http://www.wikidata.org/entity/Q12317349>,4_1s_to_10s,3845
<http://www.wikidata.org/entity/Q35509>,2_10ms_to_100ms,76693
<http://www.wikidata.org/entity/Q3914>,3_100ms_to_1s,62437
<http://www.wikidata.org/entity/Q484170>,3_100ms_to_1s,209001
<http://www.wikidata.org/entity/Q107102664>,3_100ms_to_1s,88
<http://www.wikidata.org/entity/Q15184295>,1_less_10ms,10
<http://www.wikidata.org/entity/Q185113>,3_100ms_to_1s,7951
<http://www.wikidata.org/entity/Q93184>,2_10ms_to_100ms,7380
<http://www.wikidata.org/entity/Q29654788>,4_1s_to_10s,6014
<http://www.wikidata.org/entity/Q18127>,5_more_10s,547
<http://www.wikidata.org/entity/Q2593777>,1_less_10ms,33
<http://www.wikidata.org/entity/Q155076>,5_more_10s,9
<http://www.wikidata.org/entity/Q133056>,3_100ms_to_1s,5105
<http://www.wikidata.org/entity/Q3052382>,2_10ms_to_100ms,874
<http://www.wikidata.org/entity/Q5707594>,1_less_10ms,52
<http://www.wikidata.org/entity/Q185113>,5_more_10s,32
<http://www.wikidata.org/entity/Q11446>,5_more_10s,53
<http://www.wikidata.org/entity/Q62447>,5_more_10s,52
<http://www.wikidata.org/entity/Q59541917>,4_1s_to_10s,486
<http://www.wikidata.org/entity/Q15243209>,2_10ms_to_100ms,35252
<http://www.wikidata.org/entity/Q26894053>,3_100ms_to_1s,754
<http://www.wikidata.org/entity/Q13442814>,2_10ms_to_100ms,993232
<http://www.wikidata.org/entity/Q9826>,3_100ms_to_1s,54550
<http://www.wikidata.org/entity/Q24529780>,2_10ms_to_100ms,10541
<http://www.wikidata.org/entity/Q1539532>,5_more_10s,2
<http://www.wikidata.org/entity/Q55850593>,3_100ms_to_1s,4668
<http://www.wikidata.org/entity/Q169930>,5_more_10s,104
<http://www.wikidata.org/entity/Q15416>,4_1s_to_10s,4753
<http://www.wikidata.org/entity/Q9826>,2_10ms_to_100ms,72754
<http://www.wikidata.org/entity/Q26895936>,2_10ms_to_100ms,45093
<http://www.wikidata.org/entity/Q35127>,1_less_10ms,1960
<http://www.wikidata.org/entity/Q1348305>,5_more_10s,31
<http://www.wikidata.org/entity/Q29023906>,3_100ms_to_1s,2149
<http://www.wikidata.org/entity/Q47345468>,5_more_10s,1
<http://www.wikidata.org/entity/Q2225692>,4_1s_to_10s,3239
<http://www.wikidata.org/entity/Q1238720>,3_100ms_to_1s,661
<http://www.wikidata.org/entity/Q61278455>,4_1s_to_10s,20
<http://www.wikidata.org/entity/Q1520033>,3_100ms_to_1s,93653
<http://www.wikidata.org/entity/Q55659167>,1_less_10ms,104
<http://www.wikidata.org/entity/Q355304>,1_less_10ms,381
<http://www.wikidata.org/entity/Q215380>,1_less_10ms,4805
<http://www.wikidata.org/entity/Q28564>,3_100ms_to_1s,13281
<http://www.wikidata.org/entity/Q20541692>,1_less_10ms,13
<http://www.wikidata.org/entity/Q473972>,3_100ms_to_1s,115611
<http://www.wikidata.org/entity/Q31855>,2_10ms_to_100ms,81347
<http://www.wikidata.org/entity/Q21672098>,5_more_10s,32
<http://www.wikidata.org/entity/Q215380>,5_more_10s,237
<http://www.wikidata.org/entity/Q66826848>,1_less_10ms,9
<http://www.wikidata.org/entity/Q7397>,1_less_10ms,645
<http://www.wikidata.org/entity/Q22808320>,1_less_10ms,1115
<http://www.wikidata.org/entity/Q166735>,1_less_10ms,26
<http://www.wikidata.org/entity/Q16466010>,4_1s_to_10s,199
<http://www.wikidata.org/entity/Q18918145>,1_less_10ms,62
<http://www.wikidata.org/entity/Q4421>,4_1s_to_10s,3833
<http://www.wikidata.org/entity/Q1348305>,1_less_10ms,34
<http://www.wikidata.org/entity/Q131681>,5_more_10s,50
<http://www.wikidata.org/entity/Q14659>,2_10ms_to_100ms,12849
<http://www.wikidata.org/entity/Q8502>,3_100ms_to_1s,32793
<http://www.wikidata.org/entity/Q15243209>,5_more_10s,787
<http://www.wikidata.org/entity/Q27686>,4_1s_to_10s,12102
<http://www.wikidata.org/entity/Q11879590>,1_less_10ms,2210
<http://www.wikidata.org/entity/Q107103143>,3_100ms_to_1s,172
<http://www.wikidata.org/entity/Q7187>,1_less_10ms,4456
<http://www.wikidata.org/entity/Q4414033>,4_1s_to_10s,1280
<http://www.wikidata.org/entity/Q24862>,2_10ms_to_100ms,63477
<http://www.wikidata.org/entity/Q820655>,2_10ms_to_100ms,12798
<http://www.wikidata.org/entity/Q4421>,1_less_10ms,212
<http://www.wikidata.org/entity/Q44613>,3_100ms_to_1s,17765
<http://www.wikidata.org/entity/Q1195098>,4_1s_to_10s,2074
<http://www.wikidata.org/entity/Q1577547>,2_10ms_to_100ms,12482
<http://www.wikidata.org/entity/Q50231>,5_more_10s,9
<http://www.wikidata.org/entity/Q191067>,5_more_10s,305
<http://www.wikidata.org/entity/Q2732840>,1_less_10ms,30
<http://www.wikidata.org/entity/Q3508250>,2_10ms_to_100ms,6874
<http://www.wikidata.org/entity/Q108325>,2_10ms_to_100ms,42223
<http://www.wikidata.org/entity/Q1248784>,3_100ms_to_1s,31837
<http://www.wikidata.org/entity/Q21199>,3_100ms_to_1s,8549
<http://www.wikidata.org/entity/Q860861>,4_1s_to_10s,11504
<http://www.wikidata.org/entity/Q5783996>,2_10ms_to_100ms,2023
<http://www.wikidata.org/entity/Q7725634>,2_10ms_to_100ms,354393
<http://www.wikidata.org/entity/Q21198342>,4_1s_to_10s,940
<http://www.wikidata.org/entity/Q101352>,5_more_10s,57770
<http://www.wikidata.org/entity/Q26211545>,3_100ms_to_1s,3444
<http://www.wikidata.org/entity/Q126807>,5_more_10s,19
<http://www.wikidata.org/entity/Q3331189>,4_1s_to_10s,14498
<http://www.wikidata.org/entity/Q21672098>,3_100ms_to_1s,6437
<http://www.wikidata.org/entity/Q2341654>,2_10ms_to_100ms,104
<http://www.wikidata.org/entity/Q16560>,2_10ms_to_100ms,55380
<http://www.wikidata.org/entity/Q860861>,3_100ms_to_1s,53484
<http://www.wikidata.org/entity/Q4421>,3_100ms_to_1s,9225
<http://www.wikidata.org/entity/Q1303167>,4_1s_to_10s,1468
<http://www.wikidata.org/entity/Q820655>,4_1s_to_10s,889
<http://www.wikidata.org/entity/Q1303167>,5_more_10s,13
<http://www.wikidata.org/entity/Q2732840>,5_more_10s,68
<http://www.wikidata.org/entity/Q176799>,2_10ms_to_100ms,42759
<http://www.wikidata.org/entity/Q27020041>,3_100ms_to_1s,13395
<http://www.wikidata.org/entity/Q327333>,5_more_10s,634
<http://www.wikidata.org/entity/Q27555384>,4_1s_to_10s,88
<http://www.wikidata.org/entity/Q6503489>,1_less_10ms,2
<http://www.wikidata.org/entity/Q15221623>,5_more_10s,74
<http://www.wikidata.org/entity/Q1681353>,1_less_10ms,9
<http://www.wikidata.org/entity/Q12280>,5_more_10s,87
<http://www.wikidata.org/entity/Q97695005>,3_100ms_to_1s,188
<http://www.wikidata.org/entity/Q59199015>,1_less_10ms,293
<http://www.wikidata.org/entity/Q839954>,1_less_10ms,1331
<http://www.wikidata.org/entity/Q6999>,1_less_10ms,2760
<http://www.wikidata.org/entity/Q12284>,2_10ms_to_100ms,13265
<http://www.wikidata.org/entity/Q67015883>,3_100ms_to_1s,1503
<http://www.wikidata.org/entity/Q61089180>,1_less_10ms,287
<http://www.wikidata.org/entity/Q3957>,2_10ms_to_100ms,173186
<http://www.wikidata.org/entity/Q814254>,2_10ms_to_100ms,2082
<http://www.wikidata.org/entity/Q21199>,5_more_10s,445
<http://www.wikidata.org/entity/Q6881511>,5_more_10s,22530
<http://www.wikidata.org/entity/Q277338>,3_100ms_to_1s,201
<http://www.wikidata.org/entity/Q355304>,3_100ms_to_1s,10125
<http://www.wikidata.org/entity/Q23058136>,3_100ms_to_1s,663
<http://www.wikidata.org/entity/Q6451276>,2_10ms_to_100ms,707
<http://www.wikidata.org/entity/Q10870555>,4_1s_to_10s,458
<http://www.wikidata.org/entity/Q783794>,3_100ms_to_1s,66406
<http://www.wikidata.org/entity/Q2085381>,4_1s_to_10s,7399
<http://www.wikidata.org/entity/Q4989906>,4_1s_to_10s,11657
<http://www.wikidata.org/entity/Q55850593>,1_less_10ms,156
<http://www.wikidata.org/entity/Q634099>,1_less_10ms,72
<http://www.wikidata.org/entity/Q5185279>,2_10ms_to_100ms,51192
<http://www.wikidata.org/entity/Q5633421>,2_10ms_to_100ms,76250
<http://www.wikidata.org/entity/Q56428020>,3_100ms_to_1s,202
<http://www.wikidata.org/entity/Q41176>,3_100ms_to_1s,114143
<http://www.wikidata.org/entity/Q484170>,1_less_10ms,10645
<http://www.wikidata.org/entity/Q3464665>,1_less_10ms,505
<http://www.wikidata.org/entity/Q34038>,5_more_10s,48
<http://www.wikidata.org/entity/Q327333>,2_10ms_to_100ms,81437
<http://www.wikidata.org/entity/Q55659107>,2_10ms_to_100ms,4673
<http://www.wikidata.org/entity/Q1115575>,2_10ms_to_100ms,63658
<http://www.wikidata.org/entity/Q1248784>,4_1s_to_10s,13479
<http://www.wikidata.org/entity/Q1266946>,2_10ms_to_100ms,491
<http://www.wikidata.org/entity/Q965568>,1_less_10ms,570
<http://www.wikidata.org/entity/Q11879590>,3_100ms_to_1s,28434
<http://www.wikidata.org/entity/Q23038290>,3_100ms_to_1s,32711
<http://www.wikidata.org/entity/Q34038>,4_1s_to_10s,7803
<http://www.wikidata.org/entity/Q726>,3_100ms_to_1s,4425
<http://www.wikidata.org/entity/Q159334>,2_10ms_to_100ms,21735
<http://www.wikidata.org/entity/Q55659107>,1_less_10ms,8
<http://www.wikidata.org/entity/Q67383935>,5_more_10s,2
<http://www.wikidata.org/entity/Q12284>,3_100ms_to_1s,10743
<http://www.wikidata.org/entity/Q953806>,1_less_10ms,61
<http://www.wikidata.org/entity/Q3305213>,3_100ms_to_1s,557499
<http://www.wikidata.org/entity/Q2467461>,2_10ms_to_100ms,11506
<http://www.wikidata.org/entity/Q160091>,5_more_10s,50
<http://www.wikidata.org/entity/Q2996394>,1_less_10ms,909
<http://www.wikidata.org/entity/Q57733494>,4_1s_to_10s,474
<http://www.wikidata.org/entity/Q482994>,5_more_10s,1929
<http://www.wikidata.org/entity/Q277338>,5_more_10s,36
<http://www.wikidata.org/entity/Q220659>,1_less_10ms,184
<http://www.wikidata.org/entity/Q3558970>,4_1s_to_10s,10019
<http://www.wikidata.org/entity/Q16466010>,3_100ms_to_1s,699
<http://www.wikidata.org/entity/Q2668072>,1_less_10ms,191
<http://www.wikidata.org/entity/Q2341654>,4_1s_to_10s,81
<http://www.wikidata.org/entity/Q3508250>,5_more_10s,1
<http://www.wikidata.org/entity/Q124714>,2_10ms_to_100ms,8991
<http://www.wikidata.org/entity/Q11173>,3_100ms_to_1s,460336
<http://www.wikidata.org/entity/Q26887310>,2_10ms_to_100ms,81139
<http://www.wikidata.org/entity/Q35509>,3_100ms_to_1s,31634
<http://www.wikidata.org/entity/Q101352>,2_10ms_to_100ms,4611176
<http://www.wikidata.org/entity/Q2085381>,5_more_10s,2491
<http://www.wikidata.org/entity/Q3558970>,2_10ms_to_100ms,119993
<http://www.wikidata.org/entity/Q59199015>,2_10ms_to_100ms,21460
<http://www.wikidata.org/entity/Q7604693>,4_1s_to_10s,97
<http://www.wikidata.org/entity/Q3052382>,1_less_10ms,54
<http://www.wikidata.org/entity/Q123705>,4_1s_to_10s,13239
<http://www.wikidata.org/entity/Q6999>,5_more_10s,4184
<http://www.wikidata.org/entity/Q2732840>,4_1s_to_10s,5761
<http://www.wikidata.org/entity/Q2593777>,5_more_10s,1
<http://www.wikidata.org/entity/Q27555384>,2_10ms_to_100ms,2081
<http://www.wikidata.org/entity/Q42195>,2_10ms_to_100ms,1710
<http://www.wikidata.org/entity/Q13442814>,4_1s_to_10s,53793
<http://www.wikidata.org/entity/Q476028>,2_10ms_to_100ms,228160
<http://www.wikidata.org/entity/Q4167410>,1_less_10ms,12793
<http://www.wikidata.org/entity/Q10870555>,5_more_10s,49
<http://www.wikidata.org/entity/Q66826848>,4_1s_to_10s,89
<http://www.wikidata.org/entity/Q489357>,4_1s_to_10s,2410
<http://www.wikidata.org/entity/Q860861>,5_more_10s,358
<http://www.wikidata.org/entity/Q898273>,1_less_10ms,90
<http://www.wikidata.org/entity/Q27671617>,1_less_10ms,37
<http://www.wikidata.org/entity/Q732577>,1_less_10ms,145
<http://www.wikidata.org/entity/Q4414033>,3_100ms_to_1s,870
<http://www.wikidata.org/entity/Q35127>,4_1s_to_10s,5932
<http://www.wikidata.org/entity/Q7777570>,3_100ms_to_1s,4539
<http://www.wikidata.org/entity/Q820655>,5_more_10s,303
<http://www.wikidata.org/entity/Q740445>,1_less_10ms,43
<http://www.wikidata.org/entity/Q985488>,4_1s_to_10s,659
<http://www.wikidata.org/entity/Q891723>,2_10ms_to_100ms,560420
<http://www.wikidata.org/entity/Q35509>,4_1s_to_10s,7663
<http://www.wikidata.org/entity/Q46831>,3_100ms_to_1s,15970
<http://www.wikidata.org/entity/Q187685>,4_1s_to_10s,1523
<http://www.wikidata.org/entity/Q11173>,5_more_10s,8599
<http://www.wikidata.org/entity/Q358>,4_1s_to_10s,7017
<http://www.wikidata.org/entity/Q47150325>,1_less_10ms,2826
<http://www.wikidata.org/entity/Q108325>,1_less_10ms,1128
<http://www.wikidata.org/entity/Q11755880>,1_less_10ms,105
<http://www.wikidata.org/entity/Q773668>,4_1s_to_10s,938
<http://www.wikidata.org/entity/Q7321974>,2_10ms_to_100ms,677
<http://www.wikidata.org/entity/Q2341654>,3_100ms_to_1s,816
<http://www.wikidata.org/entity/Q19855165>,3_100ms_to_1s,54461
<http://www.wikidata.org/entity/Q61443650>,2_10ms_to_100ms,653
<http://www.wikidata.org/entity/Q1238720>,2_10ms_to_100ms,9547
<http://www.wikidata.org/entity/Q55659167>,4_1s_to_10s,2444
<http://www.wikidata.org/entity/Q21198342>,5_more_10s,159
<http://www.wikidata.org/entity/Q15647814>,1_less_10ms,94
<http://www.wikidata.org/entity/Q79007>,3_100ms_to_1s,73659
<http://www.wikidata.org/entity/Q8054>,5_more_10s,794
<http://www.wikidata.org/entity/Q34023>,1_less_10ms,263
<http://www.wikidata.org/entity/Q29654788>,5_more_10s,130
<http://www.wikidata.org/entity/Q24046192>,3_100ms_to_1s,474
<http://www.wikidata.org/entity/Q15303838>,3_100ms_to_1s,7851
<http://www.wikidata.org/entity/Q3950>,1_less_10ms,254
<http://www.wikidata.org/entity/Q1580166>,4_1s_to_10s,241
<http://www.wikidata.org/entity/Q476028>,5_more_10s,148
<http://www.wikidata.org/entity/Q67035425>,4_1s_to_10s,59
<http://www.wikidata.org/entity/Q23925393>,1_less_10ms,5
<http://www.wikidata.org/entity/Q207326>,4_1s_to_10s,9490
<http://www.wikidata.org/entity/Q1580166>,5_more_10s,7
<http://www.wikidata.org/entity/Q108325>,3_100ms_to_1s,17818
<http://www.wikidata.org/entity/Q149566>,2_10ms_to_100ms,6815
<http://www.wikidata.org/entity/Q17524420>,4_1s_to_10s,1942
<http://www.wikidata.org/entity/Q176799>,1_less_10ms,408
<http://www.wikidata.org/entity/Q50386450>,2_10ms_to_100ms,9947
<http://www.wikidata.org/entity/Q24862>,1_less_10ms,765
<http://www.wikidata.org/entity/Q310890>,4_1s_to_10s,329
<http://www.wikidata.org/entity/Q838948>,5_more_10s,494
<http://www.wikidata.org/entity/Q23894233>,1_less_10ms,71
<http://www.wikidata.org/entity/Q7075>,2_10ms_to_100ms,45632
<http://www.wikidata.org/entity/Q25379>,3_100ms_to_1s,29520
<http://www.wikidata.org/entity/Q30612>,4_1s_to_10s,6895
<http://www.wikidata.org/entity/Q3914>,4_1s_to_10s,11203
<http://www.wikidata.org/entity/Q571>,3_100ms_to_1s,76590
<http://www.wikidata.org/entity/Q728937>,1_less_10ms,522
