subgraph,count
<http://www.wikidata.org/entity/Q61278455>,23463
<http://www.wikidata.org/entity/Q18593264>,42293
<http://www.wikidata.org/entity/Q3464665>,35131
<http://www.wikidata.org/entity/Q46831>,106667
<http://www.wikidata.org/entity/Q166735>,79276
<http://www.wikidata.org/entity/Q2334719>,50820
<http://www.wikidata.org/entity/Q6451276>,130
<http://www.wikidata.org/entity/Q3950>,95904
<http://www.wikidata.org/entity/Q54050>,262564
<http://www.wikidata.org/entity/Q1580166>,290
<http://www.wikidata.org/entity/Q10429085>,1985
<http://www.wikidata.org/entity/Q212198>,256826
<http://www.wikidata.org/entity/Q7604686>,5644
<http://www.wikidata.org/entity/Q22969563>,112850
<http://www.wikidata.org/entity/Q15184295>,2368
<http://www.wikidata.org/entity/Q8436>,25890
<http://www.wikidata.org/entity/Q4414033>,9983
<http://www.wikidata.org/entity/Q107103143>,414
<http://www.wikidata.org/entity/Q14350>,54843
<http://www.wikidata.org/entity/Q7604693>,999
<http://www.wikidata.org/entity/Q102496>,19141
<http://www.wikidata.org/entity/Q59541917>,231
<http://www.wikidata.org/entity/Q327333>,71589
<http://www.wikidata.org/entity/Q11753321>,1638
<http://www.wikidata.org/entity/Q2309609>,93285
<http://www.wikidata.org/entity/Q6999>,2329493
<http://www.wikidata.org/entity/Q17343829>,100529
<http://www.wikidata.org/entity/Q355304>,184667
<http://www.wikidata.org/entity/Q839954>,171691
<http://www.wikidata.org/entity/Q18918145>,4498
<http://www.wikidata.org/entity/Q2225692>,191316
<http://www.wikidata.org/entity/Q1348305>,7987
<http://www.wikidata.org/entity/Q131681>,93306
<http://www.wikidata.org/entity/Q106006703>,4398
<http://www.wikidata.org/entity/Q15303838>,28595
<http://www.wikidata.org/entity/Q57733494>,1095
<http://www.wikidata.org/entity/Q163740>,120309
<http://www.wikidata.org/entity/Q452237>,1540
<http://www.wikidata.org/entity/Q3558970>,108697
<http://www.wikidata.org/entity/Q6453643>,22297
<http://www.wikidata.org/entity/Q40231>,36858
<http://www.wikidata.org/entity/Q16970>,408443
<http://www.wikidata.org/entity/Q17018380>,72535
<http://www.wikidata.org/entity/Q16466010>,3602
<http://www.wikidata.org/entity/Q46686>,9686
<http://www.wikidata.org/entity/Q62447>,70694
<http://www.wikidata.org/entity/Q11032>,272684
<http://www.wikidata.org/entity/Q21672098>,53622
<http://www.wikidata.org/entity/Q417841>,1887
<http://www.wikidata.org/entity/Q22808320>,271278
<http://www.wikidata.org/entity/Q28564>,132717
<http://www.wikidata.org/entity/Q23894233>,842
<http://www.wikidata.org/entity/Q6503489>,195
<http://www.wikidata.org/entity/Q3257686>,129886
<http://www.wikidata.org/entity/Q34023>,118050
<http://www.wikidata.org/entity/Q310890>,3605
<http://www.wikidata.org/entity/Q26887310>,60233
<http://www.wikidata.org/entity/Q50386450>,12506
<http://www.wikidata.org/entity/Q427087>,12515
<http://www.wikidata.org/entity/Q16560>,106979
<http://www.wikidata.org/entity/Q15221623>,9873
<http://www.wikidata.org/entity/Q41298>,75113
<http://www.wikidata.org/entity/Q1081138>,72755
<http://www.wikidata.org/entity/Q891723>,352944
<http://www.wikidata.org/entity/Q27020041>,235465
<http://www.wikidata.org/entity/Q4167836>,556449
<http://www.wikidata.org/entity/Q3947>,424440
<http://www.wikidata.org/entity/Q4830453>,4268975
<http://www.wikidata.org/entity/Q39816>,135574
<http://www.wikidata.org/entity/Q489357>,111117
<http://www.wikidata.org/entity/Q585956>,131808
<http://www.wikidata.org/entity/Q13417114>,10894
<http://www.wikidata.org/entity/Q55659107>,75221
<http://www.wikidata.org/entity/Q740445>,73032
<http://www.wikidata.org/entity/Q125191>,183666
<http://www.wikidata.org/entity/Q21199>,27808
<http://www.wikidata.org/entity/Q134556>,228434
<http://www.wikidata.org/entity/Q4167410>,900136
<http://www.wikidata.org/entity/Q18127>,48941
<http://www.wikidata.org/entity/Q30198>,88487
<http://www.wikidata.org/entity/Q55850593>,649
<http://www.wikidata.org/entity/Q67015883>,7068
<http://www.wikidata.org/entity/Q79007>,415069
<http://www.wikidata.org/entity/Q965568>,33004
<http://www.wikidata.org/entity/Q294414>,7959
<http://www.wikidata.org/entity/Q8054>,14157
<http://www.wikidata.org/entity/Q187971>,123321
<http://www.wikidata.org/entity/Q106474968>,8
<http://www.wikidata.org/entity/Q31855>,38190
<http://www.wikidata.org/entity/Q8502>,669430
<http://www.wikidata.org/entity/Q847017>,50695
<http://www.wikidata.org/entity/Q773668>,4347
<http://www.wikidata.org/entity/Q2341654>,112984
<http://www.wikidata.org/entity/Q898273>,298
<http://www.wikidata.org/entity/Q235557>,9221
<http://www.wikidata.org/entity/Q7278>,71267
<http://www.wikidata.org/entity/Q44613>,78066
<http://www.wikidata.org/entity/Q35509>,146030
<http://www.wikidata.org/entity/Q169930>,8424
<http://www.wikidata.org/entity/Q43460564>,473
<http://www.wikidata.org/entity/Q100532807>,1189
<http://www.wikidata.org/entity/Q3305213>,540618
