subgraph,count
<http://www.wikidata.org/entity/Q26211545>,150942
<http://www.wikidata.org/entity/Q26894053>,11096
<http://www.wikidata.org/entity/Q30612>,125114
<http://www.wikidata.org/entity/Q35127>,122067
<http://www.wikidata.org/entity/Q23925393>,33179
<http://www.wikidata.org/entity/Q61278455>,23448
<http://www.wikidata.org/entity/Q18593264>,19672
<http://www.wikidata.org/entity/Q3464665>,279951
<http://www.wikidata.org/entity/Q46831>,165045
<http://www.wikidata.org/entity/Q166735>,81620
<http://www.wikidata.org/entity/Q2334719>,21963
<http://www.wikidata.org/entity/Q6451276>,137
<http://www.wikidata.org/entity/Q3950>,110834
<http://www.wikidata.org/entity/Q54050>,276844
<http://www.wikidata.org/entity/Q1580166>,747
<http://www.wikidata.org/entity/Q10429085>,3088
<http://www.wikidata.org/entity/Q212198>,277655
<http://www.wikidata.org/entity/Q7604686>,5131
<http://www.wikidata.org/entity/Q22969563>,113831
<http://www.wikidata.org/entity/Q15184295>,2352
<http://www.wikidata.org/entity/Q8436>,39315
<http://www.wikidata.org/entity/Q4414033>,53208
<http://www.wikidata.org/entity/Q107103143>,480
<http://www.wikidata.org/entity/Q14350>,66897
<http://www.wikidata.org/entity/Q102496>,30860
<http://www.wikidata.org/entity/Q7604693>,621
<http://www.wikidata.org/entity/Q59541917>,9858
<http://www.wikidata.org/entity/Q327333>,148862
<http://www.wikidata.org/entity/Q11753321>,3848
<http://www.wikidata.org/entity/Q2309609>,95092
<http://www.wikidata.org/entity/Q6999>,2321324
<http://www.wikidata.org/entity/Q17343829>,201811
<http://www.wikidata.org/entity/Q355304>,200729
<http://www.wikidata.org/entity/Q839954>,220366
<http://www.wikidata.org/entity/Q18918145>,4457
<http://www.wikidata.org/entity/Q2225692>,230695
<http://www.wikidata.org/entity/Q1348305>,19282
<http://www.wikidata.org/entity/Q131681>,127752
<http://www.wikidata.org/entity/Q106006703>,4407
<http://www.wikidata.org/entity/Q15303838>,103819
<http://www.wikidata.org/entity/Q57733494>,36078
<http://www.wikidata.org/entity/Q163740>,190077
<http://www.wikidata.org/entity/Q452237>,2837
