subgraph,total_query_time_(ms),total_query_time_(hr),percent
<http://www.wikidata.org/entity/Q65954115>,33936283,9.427,0.061
<http://www.wikidata.org/entity/Q15647814>,3467059,0.963,0.006
<http://www.wikidata.org/entity/Q735428>,48972312,13.603,0.089
<http://www.wikidata.org/entity/Q215380>,132980009,36.939,0.241
<http://www.wikidata.org/entity/Q26703203>,30720704,8.534,0.056
<http://www.wikidata.org/entity/Q55659167>,129093101,35.859,0.234
<http://www.wikidata.org/entity/Q149566>,24090004,6.692,0.044
<http://www.wikidata.org/entity/Q7777570>,4550663,1.264,0.008
<http://www.wikidata.org/entity/Q107102664>,71597,0.02,0.0
<http://www.wikidata.org/entity/Q3508250>,34470063,9.575,0.062
<http://www.wikidata.org/entity/Q815382>,7920594,2.2,0.014
<http://www.wikidata.org/entity/Q985488>,33941854,9.428,0.061
<http://www.wikidata.org/entity/Q101352>,2371325506,658.702,4.292
<http://www.wikidata.org/entity/Q26211545>,51972631,14.437,0.094
<http://www.wikidata.org/entity/Q26894053>,2207544,0.613,0.004
<http://www.wikidata.org/entity/Q30612>,24874568,6.91,0.045
<http://www.wikidata.org/entity/Q35127>,118647225,32.958,0.215
<http://www.wikidata.org/entity/Q23925393>,25231148,7.009,0.046
<http://www.wikidata.org/entity/Q61278455>,8841225,2.456,0.016
<http://www.wikidata.org/entity/Q18593264>,126548981,35.152,0.229
<http://www.wikidata.org/entity/Q3464665>,29983162,8.329,0.054
<http://www.wikidata.org/entity/Q46831>,82715395,22.976,0.15
<http://www.wikidata.org/entity/Q166735>,27801207,7.723,0.05
<http://www.wikidata.org/entity/Q2334719>,6002668,1.667,0.011
<http://www.wikidata.org/entity/Q6451276>,285716,0.079,0.001
<http://www.wikidata.org/entity/Q3950>,52615362,14.615,0.095
<http://www.wikidata.org/entity/Q54050>,109890011,30.525,0.199
<http://www.wikidata.org/entity/Q1580166>,1101832,0.306,0.002
<http://www.wikidata.org/entity/Q10429085>,171433,0.048,0.0
<http://www.wikidata.org/entity/Q212198>,59876248,16.632,0.108
<http://www.wikidata.org/entity/Q7604686>,519502,0.144,0.001
<http://www.wikidata.org/entity/Q22969563>,43773856,12.159,0.079
<http://www.wikidata.org/entity/Q15184295>,1849587,0.514,0.003
<http://www.wikidata.org/entity/Q8436>,55408533,15.391,0.1
<http://www.wikidata.org/entity/Q4414033>,23178334,6.438,0.042
<http://www.wikidata.org/entity/Q107103143>,122246,0.034,0.0
<http://www.wikidata.org/entity/Q14350>,24249071,6.736,0.044
<http://www.wikidata.org/entity/Q102496>,27525108,7.646,0.05
<http://www.wikidata.org/entity/Q7604693>,147827,0.041,0.0
<http://www.wikidata.org/entity/Q59541917>,3433463,0.954,0.006
<http://www.wikidata.org/entity/Q327333>,114199775,31.722,0.207
