subgraph,count
<http://www.wikidata.org/entity/Q4414033>,53454
<http://www.wikidata.org/entity/Q107103143>,674
<http://www.wikidata.org/entity/Q14350>,92370
<http://www.wikidata.org/entity/Q102496>,48145
<http://www.wikidata.org/entity/Q7604693>,1012
<http://www.wikidata.org/entity/Q59541917>,10030
<http://www.wikidata.org/entity/Q327333>,179755
<http://www.wikidata.org/entity/Q11753321>,4238
<http://www.wikidata.org/entity/Q2309609>,95362
<http://www.wikidata.org/entity/Q6999>,2444109
<http://www.wikidata.org/entity/Q17343829>,220341
<http://www.wikidata.org/entity/Q355304>,204033
<http://www.wikidata.org/entity/Q839954>,261061
<http://www.wikidata.org/entity/Q18918145>,7210
<http://www.wikidata.org/entity/Q2225692>,233164
<http://www.wikidata.org/entity/Q1348305>,19991
<http://www.wikidata.org/entity/Q131681>,132217
<http://www.wikidata.org/entity/Q106006703>,4430
<http://www.wikidata.org/entity/Q15303838>,104962
<http://www.wikidata.org/entity/Q57733494>,36378
<http://www.wikidata.org/entity/Q163740>,272723
<http://www.wikidata.org/entity/Q452237>,3257
<http://www.wikidata.org/entity/Q3558970>,204287
<http://www.wikidata.org/entity/Q6453643>,22329
<http://www.wikidata.org/entity/Q40231>,44964
<http://www.wikidata.org/entity/Q16970>,577677
<http://www.wikidata.org/entity/Q17018380>,80638
<http://www.wikidata.org/entity/Q16466010>,6594
<http://www.wikidata.org/entity/Q46686>,22145
<http://www.wikidata.org/entity/Q62447>,116635
<http://www.wikidata.org/entity/Q11032>,380153
<http://www.wikidata.org/entity/Q21672098>,115561
<http://www.wikidata.org/entity/Q417841>,5430
<http://www.wikidata.org/entity/Q22808320>,381873
<http://www.wikidata.org/entity/Q28564>,193448
<http://www.wikidata.org/entity/Q23894233>,1887
<http://www.wikidata.org/entity/Q6503489>,1100
<http://www.wikidata.org/entity/Q3257686>,218120
<http://www.wikidata.org/entity/Q34023>,120237
<http://www.wikidata.org/entity/Q310890>,27777
<http://www.wikidata.org/entity/Q26887310>,70785
<http://www.wikidata.org/entity/Q50386450>,44080
<http://www.wikidata.org/entity/Q16560>,175344
<http://www.wikidata.org/entity/Q427087>,16786
