a,b,from_a2b,from_b2a,common_preds,common_items,a_item%,b_item%
painting,Wikimedia disambiguation page,237.0,51.0,302.0,0.0,0.0,0.0
position,Wikimedia template,236.0,200.0,128.0,0.0,0.0,0.0
scholarly article,island,234.0,0.0,239.0,0.0,0.0,0.0
village in India,human settlement,228.0,117.0,203.0,142.0,0.1,0.03
painting,building,224.0,6.0,393.0,0.0,0.0,0.0
painting,literary work,220.0,115.0,416.0,2.0,0.0,0.0
print,village,219.0,2.0,131.0,0.0,0.0,0.0
island,river,218.0,116.0,430.0,0.0,0.0,0.0
hill,Wikimedia category,217.0,188.0,182.0,0.0,0.0,0.0
Wikimedia list article,album,214.0,51.0,333.0,16.0,0.0,0.01
mountain,Wikimedia disambiguation page,210.0,66.0,293.0,2.0,0.0,0.0
Wikimedia list article,taxon,209.0,47.0,369.0,4.0,0.0,0.0
Wikimedia list article,business,209.0,131.0,558.0,100.0,0.03,0.05
"version, edition, or translation",chemical compound,208.0,12.0,193.0,0.0,0.0,0.0
Wikimedia template,Wikimedia list article,203.0,191.0,176.0,20.0,0.0,0.01
scholarly article,film,202.0,19.0,300.0,0.0,0.0,0.0
astronomical object,taxon,196.0,15.0,313.0,0.0,0.0,0.0
chemical compound,Wikimedia category,195.0,190.0,171.0,0.0,0.0,0.0
village,lake,189.0,182.0,425.0,2.0,0.0,0.0
human settlement,taxon,188.0,104.0,375.0,0.0,0.0,0.0
scholarly article,human settlement,185.0,6.0,283.0,0.0,0.0,0.0
hill,village,181.0,29.0,359.0,16.0,0.0,0.01
scholarly article,family name,177.0,30.0,202.0,2.0,0.0,0.0
hill,island,176.0,46.0,375.0,14.0,0.0,0.01
house,hamlet,175.0,152.0,254.0,0.0,0.0,0.0
"version, edition, or translation",Wikimedia category,172.0,167.0,280.0,2.0,0.0,0.0
scholarly article,album,170.0,0.0,269.0,0.0,0.0,0.0
film,street,163.0,8.0,243.0,0.0,0.0,0.0
film,human settlement,163.0,24.0,356.0,0.0,0.0,0.0
street,mountain,162.0,9.0,360.0,6.0,0.0,0.0
taxon,island,160.0,43.0,320.0,0.0,0.0,0.0
primary school,building,159.0,96.0,360.0,190.0,0.12,0.07
painting,mountain,158.0,6.0,269.0,0.0,0.0,0.0
scholarly article,church building,157.0,5.0,284.0,0.0,0.0,0.0
painting,"version, edition, or translation",155.0,49.0,362.0,14.0,0.0,0.01
human,hill,154.0,96.0,284.0,2.0,0.0,0.0
"version, edition, or translation",film,152.0,74.0,500.0,20.0,0.01,0.01
church building,Wikimedia disambiguation page,151.0,20.0,315.0,0.0,0.0,0.0
scholarly article,river,150.0,0.0,205.0,0.0,0.0,0.0
painting,business,148.0,57.0,442.0,0.0,0.0,0.0
lake,Wikimedia disambiguation page,146.0,12.0,261.0,10.0,0.0,0.0
"version, edition, or translation",Wikimedia disambiguation page,146.0,134.0,325.0,14.0,0.01,0.0
astronomical object,business,145.0,35.0,373.0,2.0,0.0,0.0
house,Wikimedia category,143.0,128.0,244.0,0.0,0.0,0.0
street,island,142.0,4.0,384.0,2.0,0.0,0.0
print,church building,141.0,0.0,163.0,0.0,0.0,0.0
painting,human settlement,139.0,1.0,351.0,2.0,0.0,0.0
biographical article,"version, edition, or translation",139.0,12.0,108.0,10.0,0.01,0.01
scholarly article,mountain,139.0,2.0,202.0,0.0,0.0,0.0
architectural structure,hamlet,139.0,3.0,286.0,2.0,0.0,0.0
encyclopedia article,scholarly article,139.0,47.0,137.0,60.0,0.01,0.0
building,island,134.0,5.0,524.0,4.0,0.0,0.0
business,Wikimedia template,134.0,115.0,161.0,0.0,0.0,0.0
position,building,131.0,73.0,379.0,0.0,0.0,0.0
painting,island,131.0,1.0,281.0,0.0,0.0,0.0
mountain,village,130.0,84.0,495.0,36.0,0.01,0.01
literary work,street,130.0,26.0,279.0,0.0,0.0,0.0
Wikimedia disambiguation page,sports season,129.0,93.0,182.0,2.0,0.0,0.0
street,Wikimedia disambiguation page,129.0,23.0,251.0,0.0,0.0,0.0
lake,human settlement,129.0,101.0,472.0,20.0,0.01,0.0
cell line,Wikimedia disambiguation page,128.0,1.0,49.0,0.0,0.0,0.0
astronomical object,Wikimedia disambiguation page,127.0,30.0,287.0,2.0,0.0,0.0
street,hill,126.0,58.0,300.0,44.0,0.01,0.01
painting,village,124.0,2.0,299.0,2.0,0.0,0.0
Wikimedia list article,astronomical object,122.0,44.0,321.0,2.0,0.0,0.0
scholarly article,painting,121.0,54.0,286.0,0.0,0.0,0.0
film,Wikimedia list article,120.0,103.0,426.0,146.0,0.06,0.04
"version, edition, or translation",village,120.0,15.0,289.0,0.0,0.0,0.0
collection,"version, edition, or translation",120.0,40.0,355.0,10.0,0.0,0.01
hill,human settlement,119.0,54.0,395.0,54.0,0.02,0.01
business,chemical compound,119.0,14.0,264.0,0.0,0.0,0.0
island,Wikimedia disambiguation page,119.0,20.0,323.0,2.0,0.0,0.0
painting,collection,118.0,22.0,306.0,0.0,0.0,0.0
hamlet,river,117.0,49.0,260.0,4.0,0.0,0.0
painting,position,117.0,1.0,281.0,0.0,0.0,0.0
family name,encyclopedia article,114.0,107.0,109.0,0.0,0.0,0.0
Wikimedia category,stream,111.0,102.0,141.0,0.0,0.0,0.0
literary work,taxon,111.0,26.0,367.0,0.0,0.0,0.0
sports season,business,109.0,24.0,258.0,0.0,0.0,0.0
mountain,Wikimedia list article,109.0,8.0,330.0,4.0,0.0,0.0
street,hamlet,108.0,26.0,272.0,26.0,0.0,0.02
film,island,108.0,3.0,269.0,0.0,0.0,0.0
literary work,album,108.0,101.0,443.0,32.0,0.02,0.01
Wikimedia list article,"version, edition, or translation",106.0,101.0,395.0,118.0,0.04,0.07
gene,taxon,105.0,0.0,135.0,0.0,0.0,0.0
Wikimedia list article,literary work,103.0,79.0,470.0,14.0,0.0,0.01
film,village,102.0,15.0,290.0,2.0,0.0,0.0
painting,lake,100.0,3.0,253.0,0.0,0.0,0.0
Wikimedia template,gene,98.0,26.0,85.0,52.0,0.01,0.0
chemical compound,human,98.0,73.0,308.0,0.0,0.0,0.0
print,river,97.0,1.0,128.0,0.0,0.0,0.0
watercourse,Wikimedia category,96.0,94.0,147.0,0.0,0.0,0.0
print,literary work,96.0,9.0,200.0,2.0,0.0,0.0
"version, edition, or translation",taxon,95.0,33.0,285.0,0.0,0.0,0.0
painting,house,95.0,19.0,293.0,0.0,0.0,0.0
sports season,human settlement,92.0,8.0,202.0,6.0,0.0,0.0
church building,mountain,92.0,38.0,466.0,4.0,0.0,0.0
watercourse,mountain,86.0,2.0,239.0,0.0,0.0,0.0
Wikimedia disambiguation page,position,85.0,79.0,324.0,4.0,0.0,0.0
"version, edition, or translation",Wikinews article,84.0,83.0,169.0,166.0,0.11,0.06
architectural structure,island,83.0,0.0,455.0,0.0,0.0,0.0
literary work,human settlement,83.0,11.0,424.0,0.0,0.0,0.0
scholarly article,position,82.0,1.0,247.0,0.0,0.0,0.0
Wikimedia category,painting,82.0,47.0,287.0,2.0,0.0,0.0
gene,Wikimedia disambiguation page,82.0,5.0,128.0,0.0,0.0,0.0
literary work,island,81.0,8.0,330.0,0.0,0.0,0.0
business,island,81.0,17.0,485.0,0.0,0.0,0.0
business,position,80.0,39.0,482.0,0.0,0.0,0.0
family name,human settlement,79.0,50.0,239.0,2.0,0.0,0.0
"version, edition, or translation",print,78.0,45.0,198.0,10.0,0.01,0.01
astronomical object,mountain,77.0,15.0,277.0,0.0,0.0,0.0
hamlet,encyclopedia article,76.0,60.0,88.0,0.0,0.0,0.0
human,calendar day of a given year,76.0,3.0,54.0,0.0,0.0,0.0
"version, edition, or translation",astronomical object,73.0,23.0,270.0,0.0,0.0,0.0
business,encyclopedia article,72.0,55.0,131.0,0.0,0.0,0.0
painting,architectural structure,71.0,2.0,344.0,0.0,0.0,0.0
film,taxon,71.0,36.0,298.0,0.0,0.0,0.0
collection,Wikimedia category,71.0,57.0,280.0,0.0,0.0,0.0
architectural structure,river,70.0,5.0,378.0,0.0,0.0,0.0
"version, edition, or translation",Wikimedia template,69.0,68.0,145.0,0.0,0.0,0.0
Wikimedia list article,encyclopedia article,69.0,43.0,129.0,0.0,0.0,0.0
watercourse,village,68.0,48.0,238.0,14.0,0.01,0.01
astronomical object,river,67.0,1.0,257.0,0.0,0.0,0.0
street,lake,66.0,8.0,332.0,0.0,0.0,0.0
print,taxon,66.0,0.0,136.0,0.0,0.0,0.0
taxon,river,66.0,56.0,290.0,0.0,0.0,0.0
scholarly article,lake,66.0,0.0,201.0,0.0,0.0,0.0
lake,taxon,65.0,36.0,271.0,0.0,0.0,0.0
collection,literary work,65.0,44.0,368.0,52.0,0.01,0.03
human,watercourse,64.0,35.0,209.0,0.0,0.0,0.0
film,building,64.0,2.0,367.0,0.0,0.0,0.0
business,taxon,64.0,34.0,421.0,0.0,0.0,0.0
"version, edition, or translation",human settlement,63.0,22.0,334.0,0.0,0.0,0.0
house,business,63.0,16.0,489.0,2.0,0.0,0.0
scholarly article,building,63.0,25.0,299.0,2.0,0.0,0.0
literary work,village,63.0,14.0,353.0,2.0,0.0,0.0
human settlement,watercourse,62.0,59.0,260.0,48.0,0.01,0.03
collection,Wikimedia list article,62.0,8.0,337.0,0.0,0.0,0.0
house,island,62.0,0.0,390.0,0.0,0.0,0.0
building,Wikimedia disambiguation page,61.0,10.0,351.0,0.0,0.0,0.0
group of stereoisomers,protein,60.0,26.0,153.0,0.0,0.0,0.0
stream,human settlement,60.0,45.0,240.0,4.0,0.0,0.0
astronomical object,human settlement,59.0,7.0,346.0,0.0,0.0,0.0
taxon,mountain,59.0,27.0,298.0,2.0,0.0,0.0
street,astronomical object,59.0,1.0,245.0,0.0,0.0,0.0
sports season,building,58.0,3.0,200.0,0.0,0.0,0.0
sports season,architectural structure,58.0,1.0,189.0,0.0,0.0,0.0
Wikinews article,sports season,58.0,1.0,135.0,2.0,0.0,0.0
hamlet,island,57.0,10.0,318.0,2.0,0.0,0.0
scholarly article,architectural structure,57.0,2.0,256.0,0.0,0.0,0.0
hill,encyclopedia article,56.0,27.0,88.0,0.0,0.0,0.0
position,village,56.0,54.0,325.0,0.0,0.0,0.0
clinical trial,clinical trial,56.0,56.0,inf,inf,100.0,100.0
film,position,54.0,1.0,302.0,0.0,0.0,0.0
street,Wikimedia list article,54.0,22.0,310.0,0.0,0.0,0.0
collection,village,54.0,3.0,326.0,0.0,0.0,0.0
item of collection or exhibition,taxon,52.0,1.0,146.0,0.0,0.0,0.0
"version, edition, or translation",position,51.0,24.0,292.0,0.0,0.0,0.0
stream,village,50.0,33.0,218.0,0.0,0.0,0.0
clinical trial,Wikimedia disambiguation page,50.0,0.0,77.0,0.0,0.0,0.0
island,Wikimedia list article,49.0,37.0,357.0,2.0,0.0,0.0
taxon,village,49.0,46.0,307.0,2.0,0.0,0.0
print,painting,49.0,32.0,242.0,82.0,0.07,0.02
clinical trial,group of stereoisomers,49.0,0.0,49.0,0.0,0.0,0.0
print,Wikimedia disambiguation page,48.0,5.0,136.0,0.0,0.0,0.0
album,taxon,48.0,10.0,232.0,0.0,0.0,0.0
chemical compound,Wikimedia disambiguation page,48.0,21.0,269.0,8.0,0.0,0.0
business,family name,47.0,27.0,261.0,2.0,0.0,0.0
film,mountain,47.0,16.0,253.0,0.0,0.0,0.0
Wikimedia category,album,46.0,37.0,245.0,0.0,0.0,0.0
item of collection or exhibition,business,45.0,0.0,207.0,0.0,0.0,0.0
Wikimedia list article,river,45.0,26.0,312.0,4.0,0.0,0.0
street,stream,45.0,5.0,201.0,0.0,0.0,0.0
Wikimedia list article,family name,44.0,20.0,244.0,6.0,0.0,0.0
watercourse,Wikimedia disambiguation page,44.0,13.0,170.0,2.0,0.0,0.0
church building,house,43.0,43.0,632.0,40.0,0.02,0.02
"version, edition, or translation",church building,43.0,34.0,340.0,0.0,0.0,0.0
film,river,43.0,8.0,239.0,0.0,0.0,0.0
