predicate_label,group_serial,group_w_serial,group_serial_str,count,group_predicate_serial,group_predicate_serial_str
instance of,47,position (47),47,370170,4,4
subclass of,47,position (47),47,352983,5,5
applies to jurisdiction,47,position (47),47,324627,6,6
description,47,position (47),47,262391,7,7
country,47,position (47),47,205898,8,8
female form of label,47,position (47),47,193540,9,9
core#altLabel,47,position (47),47,125545,10,10
dateModified,47,position (47),47,120117,11,11
ontology#identifiers,47,position (47),47,120117,12,12
ontology#sitelinks,47,position (47),47,120117,13,13
ontology#statements,47,position (47),47,120117,14,14
version,47,position (47),47,120117,15,15
"dissolved, abolished or demolished date",47,position (47),47,46773,16,16
about,47,position (47),47,39668,17,17
inLanguage,47,position (47),47,39667,18,18
isPartOf,47,position (47),47,39667,19,19
name,47,position (47),47,39667,20,20
inception,47,position (47),47,29793,21,21
part of,47,position (47),47,28157,22,22
organization directed by the office or position,47,position (47),47,24946,23,23
officeholder,47,position (47),47,24821,24,24
topic's main category,47,position (47),47,22060,25,25
Freebase ID,47,position (47),47,21978,26,26
male form of label,47,position (47),47,21642,27,27
prov#wasDerivedFrom,47,position (47),47,18383,28,28
Google Knowledge Graph ID,47,position (47),47,15633,29,29
start time,47,position (47),47,15347,30,30
end time,47,position (47),47,9919,31,31
has list,47,position (47),47,9035,32,32
Commons category,47,position (47),47,6372,33,33
official website,47,position (47),47,5026,34,34
located in the administrative territorial entity,47,position (47),47,4250,35,35
native label,47,position (47),47,3884,36,36
appointed by,47,position (47),47,3878,37,37
coat of arms image,47,position (47),47,3315,38,38
replaced by,47,position (47),47,2731,39,39
different from,47,position (47),47,2439,40,40
point in time,47,position (47),47,2302,41,41
of,47,position (47),47,1757,42,42
series ordinal,47,position (47),47,1748,43,43
replaces,47,position (47),47,803,44,44
22-rdf-syntax-ns#type,48,print (48),48,1425563,1,1
ontology#rank,48,print (48),48,1425199,2,2
prov#wasDerivedFrom,48,print (48),48,1078309,3,3
collection,48,print (48),48,749917,4,4
instance of,48,print (48),48,388941,5,5
inception,48,print (48),48,348383,6,6
inventory number,48,print (48),48,343231,7,7
title,48,print (48),48,278979,8,8
creator,48,print (48),48,274104,9,9
location,48,print (48),48,271731,10,10
fabrication method,48,print (48),48,258090,11,11
height,48,print (48),48,235527,12,12
width,48,print (48),48,235437,13,13
IIIF manifest,48,print (48),48,212571,14,14
National Gallery of Art artwork ID,48,print (48),48,186699,15,15
description,48,print (48),48,182928,16,16
image,48,print (48),48,158568,17,17
depicts,48,print (48),48,147112,18,18
rdf-schema#label,48,print (48),48,139649,19,19
dateModified,48,print (48),48,119806,20,20
ontology#identifiers,48,print (48),48,119806,21,21
ontology#sitelinks,48,print (48),48,119806,22,22
ontology#statements,48,print (48),48,119806,23,23
version,48,print (48),48,119806,24,24
described at URL,48,print (48),48,91586,25,25
copyright status,48,print (48),48,89938,26,26
made from material,48,print (48),48,65466,27,27
genre,48,print (48),48,36129,28,28
determination method,48,print (48),48,32398,29,29
publication date,48,print (48),48,32152,30,30
part of,48,print (48),48,31455,31,31
main subject,48,print (48),48,31122,32,32
Handle ID,48,print (48),48,26475,33,33
relative position within image,48,print (48),48,24858,34,34
publisher,48,print (48),48,20565,35,35
earliest date,48,print (48),48,16938,36,36
latest date,48,print (48),48,16558,37,37
applies to jurisdiction,48,print (48),48,12654,38,38
sourcing circumstances,48,print (48),48,10939,39,39
place of publication,48,print (48),48,9962,40,40
object has role,48,print (48),48,8595,41,41
applies to part,48,print (48),48,7212,42,42
after a work by,48,print (48),48,6583,43,43
22-rdf-syntax-ns#type,49,hamlet (49),49,1222418,1,1
ontology#rank,49,hamlet (49),49,924362,2,2
prov#wasDerivedFrom,49,hamlet (49),49,813808,3,3
description,49,hamlet (49),49,550553,4,4
rdf-schema#label,49,hamlet (49),49,454201,5,5
instance of,49,hamlet (49),49,410079,6,6
located in the administrative territorial entity,49,hamlet (49),49,370532,7,7
country,49,hamlet (49),49,357554,8,8
Google Knowledge Graph ID,49,hamlet (49),49,311080,9,9
about,49,hamlet (49),49,309064,10,10
inLanguage,49,hamlet (49),49,309064,11,11
isPartOf,49,hamlet (49),49,309064,12,12
name,49,hamlet (49),49,309064,13,13
postal code,49,hamlet (49),49,295160,14,14
OKTMO ID,49,hamlet (49),49,282329,15,15
OKATO ID,49,hamlet (49),49,270726,16,16
coordinate location,49,hamlet (49),49,255404,17,17
dateModified,49,hamlet (49),49,118188,18,18
ontology#identifiers,49,hamlet (49),49,118188,19,19
ontology#sitelinks,49,hamlet (49),49,118188,20,20
ontology#statements,49,hamlet (49),49,118188,21,21
version,49,hamlet (49),49,118188,22,22
population,49,hamlet (49),49,86544,23,23
core#altLabel,49,hamlet (49),49,82146,24,24
located in time zone,49,hamlet (49),49,57314,25,25
point in time,49,hamlet (49),49,54788,26,26
local dialing code,49,hamlet (49),49,41455,27,27
start time,49,hamlet (49),49,39155,28,28
elevation above sea level,49,hamlet (49),49,31542,29,29
romanization of Belarusian (2007 system),49,hamlet (49),49,28932,30,30
image,49,hamlet (49),49,17247,31,31
end time,49,hamlet (49),49,15461,32,32
Commons category,49,hamlet (49),49,14513,33,33
Freebase ID,49,hamlet (49),49,14175,34,34
TOID,49,hamlet (49),49,13718,35,35
GeoNames ID,49,hamlet (49),49,13319,36,36
historic county,49,hamlet (49),49,11172,37,37
official name,49,hamlet (49),49,8986,38,38
capital of,49,hamlet (49),49,8139,39,39
SIMC place ID,49,hamlet (49),49,4496,40,40
determination method,49,hamlet (49),49,4315,41,41
valid in period,49,hamlet (49),49,2691,42,42
22-rdf-syntax-ns#type,50,group of stereoisomers (50),50,874827,1,1
ontology#rank,50,group of stereoisomers (50),50,871313,2,2
found in taxon,50,group of stereoisomers (50),50,612198,3,3
description,50,group of stereoisomers (50),50,416717,4,4
instance of,50,group of stereoisomers (50),50,336822,5,5
InChIKey,50,group of stereoisomers (50),50,334724,6,6
InChI,50,group of stereoisomers (50),50,334619,7,7
prov#wasDerivedFrom,50,group of stereoisomers (50),50,325130,8,8
chemical formula,50,group of stereoisomers (50),50,311613,9,9
canonical SMILES,50,group of stereoisomers (50),50,310605,10,10
subclass of,50,group of stereoisomers (50),50,130622,11,11
rdf-schema#label,50,group of stereoisomers (50),50,116175,12,12
dateModified,50,group of stereoisomers (50),50,111599,13,13
ontology#identifiers,50,group of stereoisomers (50),50,111599,14,14
ontology#sitelinks,50,group of stereoisomers (50),50,111599,15,15
ontology#statements,50,group of stereoisomers (50),50,111599,16,16
version,50,group of stereoisomers (50),50,111599,17,17
isomeric SMILES,50,group of stereoisomers (50),50,66005,18,18
CAS Registry Number,50,group of stereoisomers (50),50,29042,19,19
DSSTox substance ID,50,group of stereoisomers (50),50,27159,20,20
DSSTOX compound identifier,50,group of stereoisomers (50),50,27116,21,21
PubChem CID,50,group of stereoisomers (50),50,23713,22,22
mass,50,group of stereoisomers (50),50,21480,23,23
ChemSpider ID,50,group of stereoisomers (50),50,21135,24,24
ChEBI ID,50,group of stereoisomers (50),50,18863,25,25
core#altLabel,50,group of stereoisomers (50),50,8925,26,26
LIPID MAPS ID,50,group of stereoisomers (50),50,4971,27,27
KEGG ID,50,group of stereoisomers (50),50,3900,28,28
mapping relation type,50,group of stereoisomers (50),50,3750,29,29
about,50,group of stereoisomers (50),50,3613,30,30
inLanguage,50,group of stereoisomers (50),50,3613,31,31
isPartOf,50,group of stereoisomers (50),50,3613,32,32
name,50,group of stereoisomers (50),50,3613,33,33
ChEMBL ID,50,group of stereoisomers (50),50,3566,34,34
MassBank accession ID,50,group of stereoisomers (50),50,3207,35,35
UNII,50,group of stereoisomers (50),50,3099,36,36
part of,50,group of stereoisomers (50),50,2175,37,37
Reaxys registry number,50,group of stereoisomers (50),50,2106,38,38
SPLASH,50,group of stereoisomers (50),50,2043,39,39
NSC number,50,group of stereoisomers (50),50,1844,40,40
